Trained Records Size,O,PERSON,LOCATION,DATE,ID,macro avg,weighted avg
41,0.9989179342131396,0.9848518111964872,0.9350478074513684,0.9890939597315436,0.9080459770114944,0.9631914979208066,0.9977021640453492
77,0.9988048641003778,0.9847027972027972,0.9225656364240612,0.9929196168263223,0.8914956011730204,0.9580977031453156,0.9974884603857817
113,0.9984693825139792,0.98159509202454,0.9277231082456736,0.9762392462105696,0.8440366972477064,0.9456127052484936,0.9967971027030376
149,0.9989901375809174,0.9850746268656716,0.9444072337575352,0.9907640638119228,0.8683812405446294,0.9575234605121352,0.9977994007088692
185,0.9991439294323908,0.9877782627673504,0.9460636515912898,0.9958193979933112,0.9331436699857752,0.9723897823540236,0.9982370797434548
221,0.9991097109984932,0.9861751152073732,0.942115768463074,0.9931207004377736,0.9067055393586004,0.9654453668930628,0.998035786746812
257,0.9991025061317328,0.9884506428415776,0.95069033530572,0.9871688741721856,0.9184549356223176,0.9687734588147068,0.998082640910674
293,0.9991847695775188,0.990342405618964,0.9465798045602604,0.9935376276839692,0.9375866851595008,0.9734462585200424,0.9982944654338018
329,0.9993356255393762,0.9921017990346644,0.9579330904272936,0.995609450135898,0.9390581717451524,0.9768076273764768,0.9986140110837464
365,0.9988591631807764,0.9890542907180384,0.9642857142857142,0.9671931956257592,0.9320388349514565,0.970286239752349,0.9977124048516012
401,0.9993664405258886,0.9890590809628008,0.9645812644819596,0.9933138320100292,0.943502824858757,0.977964688567887,0.9986384293059803
437,0.9993664144882172,0.990817665063402,0.9643097643097645,0.9958193979933112,0.9284785435630688,0.9757583570835526,0.9986656759186168
473,0.9993799649902884,0.9877995642701524,0.9677847891066091,0.9939495097016482,0.9159120310478654,0.9729651718233128,0.9986086329802756
509,0.9992840675922404,0.9903719912472648,0.9619583195501158,0.992093216812318,0.923684210526316,0.973478361145651,0.9984868992300844
545,0.9993183180611458,0.9879676219645592,0.9658827426300098,0.9906697076508396,0.9545454545454544,0.9796767689704018,0.9985736850150516
575,0.9994143253953304,0.9894644424934153,0.971163407358303,0.9949874686716792,0.9496021220159151,0.9809263531869286,0.998796505491701
