Trained Records Size,O,PERSON,LOCATION,DATE,ID,micro avg,macro avg,weighted avg
15,0.995509335854408,0.9532710280373832,0.846153846153846,0.9714285714285714,0.5,0.9920652913171616,0.8532725562948418,0.991208548473023
25,0.990321901956659,0.8955223880597014,0.8591549295774648,0.8226950354609929,0.5499999999999999,0.9859715349691374,0.8235388510109635,0.9852109113013908
35,0.9921347944844836,0.9169675090252708,0.8853503184713377,0.6682027649769585,0.7017543859649122,0.9848169848169848,0.8328819545845925,0.9839376261623576
45,0.9967987636604482,0.9352517985611511,0.8106666666666666,0.861111111111111,0.5507246376811594,0.9914877398043452,0.8309105955361072,0.9912926854597816
55,0.9963650479954828,0.9028571428571428,0.8287292817679558,0.8265306122448981,0.8548387096774194,0.990336858465385,0.8818641589085796,0.990755865368426
65,0.9934572101544098,0.8978766430738119,0.7854406130268199,0.7354555433589463,0.7575757575757577,0.986878259406718,0.8339611534379492,0.986416261165004
75,0.9959962069328836,0.8949691085613416,0.7757575757575758,0.8373333333333334,0.7717391304347826,0.98992787549032,0.8551590710039834,0.9902930574170724
85,0.9963213178473924,0.8948220064724919,0.7855072463768116,0.8876163206871869,0.748768472906404,0.9910636878959654,0.8626070728580574,0.9912467959521188
95,0.991436285967599,0.7568555758683729,0.6373292867981791,0.8305866842452208,0.5988023952095809,0.9836502974886312,0.7630020456177906,0.9826343169115612
105,0.9960749233240834,0.8823142669296515,0.7889908256880734,0.8645771732702543,0.7641509433962264,0.9901986569179247,0.8592216265216578,0.99045843805533
115,0.9961892557245472,0.8696655132641292,0.7954144620811288,0.8670391061452514,0.7799999999999999,0.9901756089665776,0.8616616674430112,0.9904758375587428
125,0.9923039454456892,0.7607843137254903,0.7433155080213903,0.8683417085427136,0.7931034482758622,0.9855250511284388,0.8315697848022291,0.9850161215941912
135,0.99096296919003,0.6716016150740242,0.7785016286644951,0.8284435604177027,0.6166666666666667,0.9831630684241526,0.7772352880025838,0.9821957618552924
145,0.994270205066345,0.8238396624472574,0.7653758542141229,0.866410584720444,0.7619047619047619,0.9880039902516636,0.8423602136705861,0.9880490914691012
155,0.9939127473879772,0.8402991641003079,0.6978193146417445,0.8630079597821533,0.7225806451612902,0.987428953142186,0.8235239662146947,0.987338661497744
165,0.9943733958013428,0.8533988533988534,0.6557620817843867,0.8647058823529412,0.7031700288184437,0.9876087472745722,0.8142820484311935,0.9875696132136088
175,0.994153735885792,0.8470401271354786,0.740484429065744,0.8649774383894481,0.6707317073170732,0.987894585016072,0.8234774875587071,0.9879388371016072
185,0.9944619691452566,0.8397551314368024,0.6587360594795539,0.8704965920155794,0.726829268292683,0.9877584901975144,0.818055804073975,0.9876973024963432
195,0.9908957667941356,0.7773246329526917,0.7695056581298391,0.7332585110362888,0.6914285714285714,0.9830992027403204,0.7924826280683053,0.9825929348499932
205,0.9940195988643648,0.8301886792452831,0.7104749512036435,0.8276249298147108,0.5987654320987654,0.9868118102664984,0.7922147182453535,0.9869262276658058
215,0.996165739022882,0.841075794621027,0.8024819027921406,0.8465319497542327,0.6501240694789082,0.9895056672791545,0.827275891133838,0.9900590333143082
225,0.994993122420908,0.8343176872862916,0.7648017381857687,0.841512469831054,0.7221006564551422,0.9883226960031608,0.8315451348358328,0.9886436671569282
235,0.9926178307779672,0.7720564119383405,0.8101503759398496,0.7821507760532151,0.6919642857142858,0.985078771283673,0.8097879360847318,0.9850746274030082
245,0.9959894123550614,0.8365039977943204,0.8088597210828548,0.8227526663280852,0.6666666666666667,0.9890952480913924,0.8261544928453978,0.9896893435245862
255,0.9964859530695144,0.8338319282023389,0.8034188034188035,0.8400000000000001,0.7153965785381027,0.9897147900607148,0.837826652645752,0.9903988653431548
265,0.994251136770938,0.8505167632972018,0.63905325443787,0.8338439783172285,0.7250437828371278,0.987256874580818,0.8085417831320731,0.987081526832739
275,0.9972470306289056,0.8484130743723355,0.8074389771406432,0.8449967298888161,0.7394736842105264,0.9906859532961032,0.8475138992482455,0.991504152946512
285,0.9938592625238726,0.8436018957345971,0.7347686669720569,0.8019184652278177,0.6495412844036698,0.9869673285386208,0.8047379149724028,0.9869653303476754
295,0.98981470970346,0.7866628991240463,0.672645739910314,0.7608024691358024,0.6159695817490494,0.9823470423499772,0.7651790799245344,0.9814290061875944
305,0.9925634441591356,0.8119791666666666,0.7609834744054818,0.8043935498948354,0.680067001675042,0.9859377107437532,0.8099973273602321,0.9858012193143468
315,0.9971988465144804,0.8351269909599655,0.7877291960507758,0.8529862174578867,0.743276283618582,0.9906541526072532,0.843263506920338,0.9914093788494832
325,0.9952896697682698,0.8131560531840448,0.7802079598422373,0.8493457943925236,0.692537313432836,0.9888473810555344,0.8261073581239824,0.9891619472768448
335,0.9817880839049948,0.3121876201460976,0.5439121756487026,0.323985483338832,0.7014925373134329,0.969208637617816,0.572673180070412,0.962307707329576
345,0.9890630357185572,0.734598388354562,0.518664047151277,0.7443854634544713,0.6366366366366366,0.980371117427662,0.7246695142631008,0.979039295795424
355,0.9921802806401764,0.7456008044243339,0.78409464344397,0.7693201626961069,0.7388392857142858,0.9846899559601514,0.8060070353837746,0.9846509068422584
365,0.9951744683212548,0.825057295645531,0.7675329298682806,0.8027884791781323,0.7661909989023051,0.9883896407360532,0.8313488343831008,0.9888329229788322
375,0.9926608503072004,0.8247213779128673,0.7989221960255978,0.737392003214788,0.7009735744089012,0.9858519852783214,0.8109340003738709,0.9857764487546892
385,0.994202291475274,0.8047701481054049,0.6830793278624463,0.8209176122348298,0.6015503875968993,0.9870976647877604,0.7809039534549708,0.9871490598509812
395,0.9969381620583752,0.7981927710843374,0.7778999450247388,0.8346900438321854,0.7537922987164527,0.9899831368207856,0.832302644143218,0.990835064964556
405,0.9960604547723868,0.8048323974817084,0.7808564231738034,0.8002645502645503,0.7429805615550756,0.9888160600677336,0.824998877449505,0.9895773051002362
415,0.9832564911429263,0.3132840141524606,0.6468906361686919,0.4221289984268485,0.586552217453505,0.9716255816488584,0.5904224714688866,0.9661743665468344
425,0.9964390402779284,0.8215978334461747,0.7662337662337663,0.81394640682095,0.7472306143001007,0.9895406031899588,0.8290895322157841,0.9902563781438758
435,0.9959591308223475,0.821834209187998,0.768340783591901,0.8090436908035442,0.7303149606299212,0.9890579750018852,0.8250985550071424,0.9897805682043076
445,0.9966861703673868,0.8191574563511133,0.7794547224926972,0.8119394206734304,0.7524366471734892,0.989667784456058,0.8319348834116234,0.9905784040372324
455,0.9939710952915388,0.7879501851228542,0.7253379350014381,0.7947598253275109,0.7560521415270017,0.9866550760049808,0.8116142364540687,0.9869958913982516
465,0.996521031764836,0.832663558913358,0.7956938918792418,0.8247792494481235,0.7475813544415127,0.9900390405652604,0.8394478172894143,0.9908294549845916
475,0.9895128707416364,0.82161629434954,0.7805125602638924,0.5083166999334664,0.7082568807339449,0.9814846460758893,0.761643061204496,0.980100598002046
485,0.9921286541209524,0.7926106657371906,0.7518597236981934,0.7744668419515045,0.6237864077669903,0.9851912429210242,0.7869704586549663,0.9851614355571636
495,0.9935049464304696,0.7935772223141863,0.7811054297540784,0.7859984089101034,0.695837780149413,0.9865508362087144,0.81000475751165,0.9869838078345436
505,0.993629869979538,0.8020994133991972,0.7733786737915957,0.7826441784548422,0.7129277566539926,0.98674994746144,0.8129359784558332,0.9871349933448166
515,0.9921564518945346,0.7768671717952683,0.7693327441449404,0.6909607193563654,0.7175438596491228,0.9843361999553428,0.7893721893680462,0.9844224981723982
525,0.9937025451639128,0.8143779837124404,0.6634560906515581,0.8019915741095366,0.7024722932651323,0.9865613701871012,0.795200097380516,0.9868071974776172
535,0.9940833776211072,0.8316633266533066,0.7933110367892977,0.7996380558428128,0.6610348468848997,0.987812932086214,0.8159461287582849,0.9881965263060918
545,0.9962445222252988,0.7912115193644489,0.7693345323741008,0.7983696955166627,0.7231638418079097,0.9888068534430362,0.8156648222576841,0.9897515183169822
555,0.9931697150245232,0.7995139732685297,0.7389046270066101,0.7699807568954459,0.5737514518002323,0.9859435171287928,0.7750641047990683,0.9861140700261972
565,0.9950610940275142,0.81298058125896,0.7827303617829302,0.7715030408340574,0.7487999999999999,0.9880180069067588,0.8222150155806924,0.9887238254062384
575,0.9926903135749536,0.7760069545059404,0.7643010752688171,0.7995778116570892,0.4132231404958678,0.9857113323967508,0.7491598591005337,0.9856891569044745
585,0.99296365138688,0.7826208049018243,0.7987359273158207,0.7715786840130097,0.6272066458982347,0.9861349460902088,0.7946211427031539,0.9863100326358164
595,0.9950739954851232,0.7710407239819005,0.7974995264254594,0.8023702403160321,0.6789667896678967,0.987980874165864,0.8089902551752823,0.9886479227081058
605,0.9931094671852012,0.758978451715882,0.8,0.7792621644809412,0.6578411405295316,0.9861660474135592,0.7978382447823111,0.986346806191974
615,0.9891710382198652,0.7031615925058549,0.7926119253162015,0.6400955366472608,0.6330178759200841,0.9813063280918156,0.7516115937218533,0.980331256604596
625,0.9928071139188354,0.7520955041910085,0.7834064619066614,0.7787590053451081,0.6490872210953347,0.9857020889697078,0.7912310612913898,0.9858418039791442
635,0.99588153710845,0.8149994335561347,0.7831016825164594,0.8104666202367925,0.7236388697450035,0.9890559442937092,0.8256176286325679,0.9899190660528993
645,0.994411383573257,0.8183706438956843,0.7411067193675889,0.8134969325153374,0.6810035842293907,0.9878226398590876,0.8096778527162517,0.9882034292954096
