Trained Records Size,O,PERSON,LOCATION,DATE,ID,macro avg,weighted avg,confidence
11,0.9778573026168642,0.0,0.0,0.0,0.0,0.1955714605233728,0.935285960849033,0.9602597783145091
11,0.9769533445756042,0.0,0.0,0.0,0.0,0.1953906689151208,0.9324244441913236,0.9602597783145091
22,0.9938817131203264,0.9363057324840764,0.4146341463414634,0.952,0.0,0.6593643183891732,0.9817374486862792,0.9602597783145091
33,0.9980628988149498,0.9625,0.919831223628692,0.9886792452830188,0.0,0.7738146735453321,0.9941245619068524,0.9838828313630256
38,0.9970677613690888,0.9772727272727272,0.844106463878327,0.9927007299270074,0.1666666666666666,0.7955628698227634,0.9929399133881012,0.9838828313630256
48,0.9970699758703896,0.9621380846325168,0.8724279835390947,0.9831460674157304,0.2857142857142857,0.8200992794344033,0.9934088944571534,0.9863234179707576
53,0.997453804743198,0.9718875502008032,0.891640866873065,0.9514563106796116,0.4242424242424242,0.8473361913478203,0.994156324585254,0.9863234179707576
63,0.9959663762046986,0.9735449735449736,0.8825214899713466,0.8961424332344212,0.6976744186046512,0.8891699383120184,0.9921871168060064,0.987849515364889
68,0.9959892644974518,0.9287020109689214,0.8703703703703705,0.9096296296296296,0.7547169811320755,0.8918816513196898,0.9916370725710594,0.987849515364889
79,0.9982080335235574,0.9559748427672956,0.9002849002849003,0.9567809239940388,0.7407407407407407,0.9103978882621064,0.9953930875753458,0.9878727617605318
84,0.9986684420772304,0.9454545454545454,0.864,0.9862595419847328,0.8684210526315789,0.9325607164296176,0.9959911289670792,0.9878727617605318
95,0.997539975399754,0.965925925925926,0.9168646080760094,0.932349323493235,0.810126582278481,0.9245612830346812,0.9946069445844892,0.9892495372269134
100,0.9985998455001932,0.945619335347432,0.84,0.9936948297604036,0.7945205479452054,0.9144869117106468,0.995717070540824,0.9892495372269134
108,0.9970413064361192,0.9369797859690844,0.8421052631578947,0.9170464904284412,0.7865168539325843,0.8959379399848247,0.9925979415899664,0.9892495372269134
119,0.9988047601725304,0.9709364908503768,0.8973913043478261,0.9880184331797236,0.851063829787234,0.9412429636675382,0.996938129898132,0.9905800255609588
122,0.9987414109803388,0.975206611570248,0.9283387622149836,0.9899543378995436,0.8321167883211679,0.9448715821972564,0.9971774279899492,0.9905800255609588
133,0.9985185624129655,0.97265625,0.9038737446197992,0.9917627677100496,0.9323308270676692,0.9598284303620966,0.9968794332991108,0.9914465164311572
136,0.9955033870590984,0.9715370018975332,0.7857889237199582,0.965089216446858,0.6857142857142857,0.8807265629675467,0.9916988087908026,0.9914465164311572
147,0.9967792322684986,0.9733570159857904,0.7425149700598803,0.9884704073789392,0.7936507936507936,0.8989544838687806,0.99305926814019,0.991825762665464
151,0.9981925172933966,0.9724137931034482,0.8953341740226985,0.9791976225854382,0.9466666666666668,0.9583609547343296,0.9962183535096496,0.991825762665464
162,0.9978057420821658,0.9498269896193772,0.8992628992628994,0.9896755162241888,0.8382352941176471,0.9349612882612556,0.9955127306837775,0.9922335220717736
164,0.9980527003376962,0.9572235673930588,0.9168490153172866,0.9774535809018567,0.9290322580645162,0.9557222244028828,0.9960138982493568,0.9922335220717736
174,0.99836762158727,0.962490023942538,0.9202072538860104,0.9901547116736992,0.903225806451613,0.954889083508226,0.9965856620163546,0.9922763443555996
178,0.9981881898586312,0.9598788796366388,0.8985823336968374,0.98838004101162,0.9297297297297296,0.9549518347866914,0.9961578327638144,0.9922763443555996
188,0.9982241491224848,0.9384116693679092,0.8696461824953444,0.9722785665990534,0.8717948717948718,0.9300710878759328,0.9951441487945892,0.9923694904657177
195,0.9979199480588186,0.956043956043956,0.903225806451613,0.9876373626373628,0.8163265306122449,0.9322307207607992,0.9956670324443684,0.9923694904657177
206,0.9984593805330084,0.9620637329286796,0.936086529006883,0.9907161803713528,0.874251497005988,0.9523154639691824,0.9968190900077196,0.9927289498165128
210,0.998374233802755,0.9694767441860466,0.9326829268292685,0.9834457388105456,0.875,0.951795928725723,0.9967205756210948,0.9927289498165128
221,0.9982420286988816,0.9626373626373624,0.9133709981167608,0.975045648204504,0.810126582278481,0.931884523987198,0.9960093448688148,0.9930704474964832
227,0.9962910428158656,0.9720670391061452,0.9305423406279734,0.8787010506208214,0.946808510638298,0.9448819967618206,0.992956869126534,0.9930704474964832
238,0.995756745625042,0.9652459016393442,0.9345291479820628,0.8226458694396303,0.8969072164948454,0.9230169762361852,0.9912392322339988,0.9928861545212888
239,0.9985302170091356,0.9661016949152542,0.940550133096717,0.9805097451274364,0.9178743961352656,0.9607132372567616,0.9969560867344068,0.9928861545212888
249,0.9963505015720916,0.9773145309625996,0.933877551020408,0.8765484835540367,0.9400921658986175,0.9448366466015508,0.9930833843192652,0.992952371460432
256,0.9981613701059312,0.974390243902439,0.915951972555746,0.9668560606060606,0.9488372093023256,0.9608393712945006,0.9962453766895464,0.992952371460432
267,0.9983035079078422,0.975839717147908,0.8970358814352575,0.9875478927203064,0.9437229437229436,0.9604899885868516,0.9965808149753702,0.9935659812514522
272,0.998564628075148,0.9748684979544128,0.919614147909968,0.98670465337132,0.9437229437229436,0.9646949742067584,0.997042368330742,0.9935659812514522
282,0.9986707866526264,0.972617743702081,0.9284099472494348,0.9902822767237388,0.944,0.9667961508655762,0.9972516532221066,0.9939386398566376
288,0.998817528202384,0.9724366041896362,0.934032983508246,0.9925650557620816,0.935361216730038,0.9666426776784772,0.9974728735328748,0.9939386398566376
298,0.998990160322481,0.9817007534983851,0.938403041825095,0.9936651583710406,0.9407407407407408,0.9706999709515486,0.9978660942759164,0.9941480248738416
303,0.9990654818506738,0.9746903607969843,0.93519882179676,0.9937555753791256,0.9516728624535316,0.9708766204554152,0.99783419917786,0.9941480248738416
314,0.998984672617839,0.978226234731811,0.9385640266469282,0.9925471284524332,0.9548872180451128,0.9726418560988248,0.997829306514197,0.994295966161188
319,0.9989968483661268,0.9825462012320328,0.9406657018813316,0.9896822121337184,0.9477611940298508,0.971930431528612,0.9978635912180538,0.994295966161188
328,0.9988871737803784,0.983050847457627,0.9468013468013468,0.982375478927203,0.9285714285714284,0.9679372551075968,0.9976827838810092,0.994295966161188
338,0.9991489601136596,0.9815668202764978,0.9465855307640296,0.9932177844762624,0.96,0.97610381912609,0.9981703275602778,0.9946529801993612
341,0.9991389071579192,0.9847396768402156,0.9496402877697842,0.9918276374442794,0.9308176100628932,0.9712328238550182,0.9981663279770372,0.9946529801993612
352,0.9989517402438864,0.979574098218166,0.9401386263390044,0.9904901243599122,0.9181286549707602,0.965456648826346,0.9977695246214748,0.9947088501339284
356,0.9990426134698422,0.9793103448275862,0.9480275516593611,0.991645477660734,0.9325513196480938,0.9701154614531232,0.9979825671294807,0.9947088501339284
367,0.9990728700091508,0.9793158313444708,0.9405405405405406,0.9926238145416229,0.9555555555555556,0.9734217223982682,0.9980045075587384,0.9949913132636182
368,0.9990608180515586,0.9777424483306836,0.939903846153846,0.9929775280898876,0.9555555555555556,0.9730480392363065,0.9979697159926916,0.9949913132636182
379,0.9990276609579032,0.9765407554671968,0.9408955223880596,0.976232706633558,0.8564356435643565,0.9498264578022148,0.997456824826937,0.9949023594019604
385,0.9990958355247996,0.9793694044375244,0.945930563460444,0.9931176875430144,0.9496021220159152,0.9734231225963396,0.9980809098431214,0.9949023594019604
395,0.9986751426545956,0.9812476081132798,0.9119010819165376,0.9925170068027211,0.9390862944162436,0.9646854267806756,0.9973180587045338,0.994804311409321
402,0.999129239230064,0.9829376854599406,0.9461457233368532,0.9932840832773674,0.9536082474226804,0.975020995745381,0.9981333225985914,0.994804311409321
413,0.998998416852444,0.9653278407140408,0.951028403525955,0.9936467598475224,0.9508196721311476,0.971964218614222,0.997806182878194,0.995164588281156
413,0.998998416852444,0.9653278407140408,0.951028403525955,0.9936467598475224,0.9508196721311476,0.971964218614222,0.997806182878194,0.995164588281156
426,0.9989674490880835,0.9627922291735266,0.9547403525488328,0.9932515337423312,0.9513274336283186,0.9722157996362184,0.997795549197658,0.995164588281156
436,0.9990921265806276,0.9849246231155778,0.95078834209269,0.9900811541929668,0.9513274336283186,0.9752427359220364,0.9981393522558016,0.9953392584242948
439,0.9991003215977492,0.984158415841584,0.9500462534690102,0.9895491191400416,0.944915254237288,0.9735538728571346,0.9981029123808904,0.9953392584242948
449,0.9990371749230976,0.9836494440810988,0.9446808510638296,0.9913561847988076,0.9157175398633256,0.9668882389460318,0.9979456737176235,0.9953861286837664
453,0.9989991732300596,0.9851421188630493,0.9380863039399624,0.9923122412773508,0.9168539325842696,0.9662787539789384,0.9978826687747754,0.9953861286837664
