Trained Records Size,O,PERSON,LOCATION,DATE,ID,macro avg,weighted avg
100,0.9969306728097216,0.954030954030954,0.8546979291459866,0.8788313317798888,0.0,0.7368981775533102,0.9907147190394434
200,0.9983149050114264,0.9714608009024251,0.9113214160532772,0.976655645726881,0.8287373004354136,0.9372980136258846,0.9963798571033722
300,0.998915821904358,0.979591836734694,0.9122633744855968,0.9910714285714286,0.9092113982770048,0.9582107719946166,0.9975034697482542
400,0.99887181212703,0.978558394160584,0.9203416419731566,0.9862768496420048,0.9361163820366856,0.9640330159878924,0.997510408008076
500,0.998563673825184,0.957703265395573,0.9067753438614368,0.987018134971757,0.9227895392278954,0.9545699914563692,0.9967774322640895
600,0.9989207422125114,0.9782438915541672,0.9222146739130436,0.9910554561717352,0.9421702404158544,0.9665210008534624,0.9976609490121194
700,0.9985954754835376,0.9799296972445856,0.925368139223561,0.9790416215684346,0.9087428206764518,0.958335550839314,0.997129363116635
800,0.998828525889578,0.9765066394279878,0.9166525781910396,0.9890742947953912,0.94987146529563,0.9661867007199252,0.9974841654491124
900,0.9988646939624162,0.9850039463299132,0.9290128611992652,0.9862144203114152,0.9223497636731938,0.9642891370952408,0.997639286859107
1000,0.9989222839657972,0.9776530039303762,0.9411160561451556,0.98755432635322,0.9183922046285018,0.9647275750046104,0.9977148445944628
1059,0.9988433316668068,0.984367920253738,0.9464161447459986,0.97380465478625,0.9450261780104712,0.969691645892653,0.9976279668226472
1059,0.9988433316668068,0.984367920253738,0.9464161447459986,0.97380465478625,0.9450261780104712,0.969691645892653,0.9976279668226472
1059,0.9988433316668068,0.984367920253738,0.9464161447459986,0.97380465478625,0.9450261780104712,0.969691645892653,0.9976279668226472
1059,0.9988433316668068,0.984367920253738,0.9464161447459986,0.97380465478625,0.9450261780104712,0.969691645892653,0.9976279668226472
1059,0.9988433316668068,0.984367920253738,0.9464161447459986,0.97380465478625,0.9450261780104712,0.969691645892653,0.9976279668226472
1059,0.9988433316668069,0.9843679202537381,0.9464161447459986,0.9738046547862499,0.9450261780104712,0.969691645892653,0.9976279668226473
