Trained Records Size,O,PERSON,LOCATION,DATE,ID,macro avg,weighted avg,confidence
31,0.996749807793202,0.949659863945578,0.7882585751978892,0.909415188209894,0.0,0.7288166870293127,0.990354494310524,0.9862395959664771
51,0.9977130589773564,0.9584536769606754,0.8936541143654115,0.9649558224957808,0.6287744227353464,0.8887102191069142,0.9947855480346548,0.9896459576375424
71,0.9981997012691116,0.9718728561628172,0.9057067603160668,0.9685671789786812,0.8228228228228228,0.9334338639099,0.9960803282839732,0.9896459576375424
91,0.998044741970182,0.956307836476514,0.8666547342044031,0.9718711781492052,0.8173418621179814,0.9220440705836572,0.9953931562790156,0.9917854597994956
111,0.9971213444956242,0.9724502417631844,0.9049621530698064,0.9065990800713416,0.8349514563106796,0.9232168551421271,0.9940911931551806,0.9917854597994956
131,0.9986183746282142,0.9761686526122824,0.9285467725233,0.9818,0.8496350364963504,0.9469537672520292,0.997028116491181,0.99381528917411
151,0.9986087300540684,0.9816034521916877,0.9300249910746162,0.981059842836994,0.8827586206896552,0.9548111273694042,0.9971773604422678,0.99381528917411
171,0.998632182485666,0.9749885268471776,0.9320955819150764,0.9687316787179988,0.9266750948166876,0.9602246129565212,0.9970368954944862,0.9921383780477666
191,0.9985631069883152,0.976574105816478,0.9189457981103928,0.9783336616111876,0.8154897494305239,0.9375812843913796,0.9967541055142664,0.9921383780477666
211,0.9986746878584574,0.977630677927414,0.8989769820971867,0.986312239634993,0.8999300209937019,0.9523049217023504,0.997024100610072,0.9937907785156878
231,0.9988930845000488,0.9824003633473372,0.9332881815103284,0.9858734580183048,0.9170068027210884,0.9634923780194216,0.997651038342633,0.9937907785156878
251,0.9986787825005484,0.9824601366742598,0.9202949438202246,0.979107405590976,0.931726907630522,0.9624536352433062,0.9972548088164788,0.994405554811914
271,0.9987623558144524,0.9831161473087818,0.9151544874938696,0.9849003422589088,0.9396662387676508,0.9643199143287328,0.9974082164097394,0.994405554811914
291,0.999007036515325,0.9819511080648846,0.9376915219611848,0.990225413923798,0.9335106382978724,0.9684771437526128,0.997903960234514,0.9946844909419716
311,0.9989655018800808,0.9844688810792428,0.9332436522616444,0.9886113886113884,0.9466237942122186,0.970382643608915,0.9978645988239002,0.9946844909419716
331,0.9985620679806714,0.9788602941176472,0.8599939522225583,0.9881932731421768,0.7932098765432098,0.9237638928012526,0.9963444171958686,0.9950102364653636
351,0.999101145091675,0.9856025393946264,0.949351771823682,0.9905217998603212,0.9100817438692098,0.9669318000079028,0.9981005078148276,0.9950102364653636
371,0.9990879839828216,0.9867030344357312,0.9523809523809522,0.9900199600798404,0.9054794520547944,0.966734276586828,0.998112045390609,0.99527918455261
391,0.9987143029260748,0.970437875083352,0.9315160693252568,0.9891789933485556,0.9213483146067416,0.9622391110579962,0.9973590467842228,0.99527918455261
411,0.998727439281028,0.9844961240310076,0.9044117647058822,0.9837087691069992,0.9010712035286704,0.9544830601307176,0.99718221381116,0.9951284359034624
431,0.9987668446059342,0.9802707042899748,0.9476412649040954,0.9734963325183374,0.6232142857142857,0.9046778864065256,0.9967210655617038,0.9951284359034624
451,0.9988616115620668,0.9825555052106932,0.9246011754827876,0.990487514863258,0.8999300209937019,0.9592871656225016,0.9975748750504202,0.995503275733233
471,0.9989348616804123,0.983957219251337,0.9501294219154444,0.983573516073768,0.8981026001405482,0.962939523812302,0.9977855455838986,0.995503275733233
491,0.9992032845132036,0.9867271695972772,0.9477303988995872,0.992928991136341,0.9385327164573696,0.9730245121207558,0.998306704346426,0.9956783559832784
511,0.9991144940991008,0.9850881156800724,0.9480883900385828,0.9912,0.907446068197634,0.966187413603078,0.9980988383399378,0.9956783559832784
531,0.9990431569222648,0.9820755794040416,0.9396175779939618,0.9914188784673718,0.9414858645627876,0.9707282114700856,0.997996468056766,0.9958077346574672
551,0.9991933794432172,0.9834833124501652,0.9512903777132116,0.9929261731593104,0.942257217847769,0.9738300921227347,0.9982936271437628,0.9958077346574672
571,0.999086043856697,0.9758565187399402,0.9267647545048768,0.9925291363681642,0.9284750337381916,0.964542297441574,0.9978180513443212,0.9957152255932692
591,0.9989057618323784,0.9587876144788487,0.9424011103400416,0.9913630497369204,0.9418758256274768,0.9666666724031332,0.9975644699511332,0.9957152255932692
611,0.999014680761518,0.9795644891122278,0.9501626990923104,0.9859461599366588,0.9282648681790312,0.9685905794163492,0.997911971198995,0.995873654849562
631,0.9991388952124554,0.9842200180342652,0.9515076706048315,0.985679012345679,0.9473684210526316,0.9735828034499724,0.9981508050258197,0.995873654849562
651,0.9992199186274524,0.9851423386639446,0.9562489105804428,0.9926353503184714,0.9315254237288136,0.972954388383825,0.9983572722578284,0.995756516308382
671,0.9990397909317988,0.9831161473087818,0.952644313861044,0.9830608627142012,0.9500324464633356,0.9735787122558324,0.9980156508624916,0.995756516308382
691,0.9990515761155526,0.9809251856082238,0.948284690220174,0.9903969903969904,0.915277777777778,0.9667872440237438,0.9979883287245482,0.9960713768291644
711,0.9982592955927478,0.9789449852841294,0.940978644694804,0.9514563106796116,0.927217125382263,0.9593712723267112,0.9965431418697284,0.9960713768291644
731,0.9989424135080688,0.9826302729528535,0.943728813559322,0.9861960165647802,0.879492600422833,0.9581980234015716,0.9977116853504828,0.9960419795428044
751,0.9988475558787016,0.979064587973274,0.9394979230630306,0.9845905932118038,0.8854961832061069,0.9574993686665836,0.9975208956720596,0.9960419795428044
771,0.9990878064632128,0.9832161487865728,0.949164107813033,0.9924317864967138,0.9163834126444595,0.9680566524407984,0.9980983094250302,0.9961333598211604
791,0.9990778727398396,0.9828263553709732,0.9477559607293128,0.9879157095775492,0.9252042740414834,0.9685560344918316,0.9980199217275518,0.9961333598211604
811,0.9992065940120116,0.98140589569161,0.9508881922675028,0.992320734018151,0.9521410579345088,0.9751924947847568,0.9982879009733466,0.9963445982084383
831,0.9990133120375932,0.9685213149030086,0.9214215846103684,0.9925276477034972,0.9555837563451778,0.967413523119929,0.9976622955243484,0.9963445982084383
851,0.999057835066686,0.9828790268078396,0.94035683942226,0.9904057565460724,0.9438902743142144,0.9713179464314144,0.9980183212219288,0.996253414163614
