Trained Records Size,O,LOCATION,DATE,PERSON,ID,macro avg,weighted avg
56,0.9970232883908248,0.8666666666666665,0.955223880597015,0.9152542372881356,0.4,0.8268336145885284,0.9934163577384532
68,0.9973843612334804,0.9076923076923076,0.9171974522292994,0.9555555555555556,0.6086956521739131,0.8773050657769111,0.994419385218726
80,0.9982706085810754,0.8627450980392157,0.9591836734693876,0.9738562091503268,0.6842105263157895,0.8956532231111591,0.9957920671015902
92,0.9975336249136768,0.9014084507042252,0.9597989949748744,0.9302325581395348,0.6829268292682926,0.8943800916001207,0.9945666145062196
104,0.9984336421801576,0.9056603773584908,0.9793621013133208,0.9525691699604742,0.7317073170731707,0.9135465215771228,0.9960333273072842
116,0.9986100507037844,0.9180887372013652,0.9723756906077348,0.9844413012729843,0.8979591836734695,0.9542949926918676,0.9969679472365832
128,0.998749158087174,0.9099378881987578,0.98539435248296,0.9891956782713086,0.8571428571428571,0.9480839868366114,0.997270016477039
140,0.9982656372384467,0.8657894736842106,0.9817549956559514,0.9849548645937812,0.8225806451612904,0.930669123266736,0.9962407242159438
152,0.9986984815618222,0.9198218262806236,0.9908256880733946,0.9876339653751032,0.8091603053435115,0.9412280533268912,0.9972427685151178
164,0.998679699548435,0.9166666666666666,0.9906658369632856,0.9781591263650544,0.8554216867469879,0.947918603258086,0.9971229102199106
176,0.9986136783733826,0.9310344827586208,0.9805269186712484,0.9816643159379408,0.8555555555555555,0.9494789902593496,0.9970668292642906
188,0.998463066744138,0.9090909090909092,0.9812332439678284,0.9776071657069738,0.8571428571428571,0.9447074485305412,0.9966192853908622
200,0.9985664731700412,0.8989898989898989,0.9877175025588536,0.9817539729252502,0.9276595744680852,0.9589374844224258,0.9969417758036502
212,0.9983468899324774,0.9033742331288342,0.9817158931082982,0.9766431287343836,0.900398406374502,0.9520957102556992,0.9965515682794522
224,0.9982156865761178,0.9197278911564626,0.9857904085257548,0.9617105917454002,0.8896797153024911,0.9510248586612452,0.9963870228066716
236,0.9980729968838424,0.901015228426396,0.9859154929577464,0.9684924866698982,0.8821548821548822,0.947130217418553,0.9961130808737324
248,0.998427683475957,0.926159129937035,0.9751693002257336,0.979847738468428,0.8943089430894309,0.9547825590393167,0.996740738767022
260,0.9983489268024216,0.8967517401392112,0.9883466860888565,0.9802065404475042,0.8911392405063291,0.9509586267968644,0.9965802550614306
