Label ID,Support,True Positives,False Positives,False Negatives,True Negatives,Precision,Recall,F1 S$
O,147363,147271,100,92,7415,0.9993214404462207,0.9993756913200735,0.9993485651468782
DATE,2570,2548,22,22,152286,0.9914396887159533,0.9914396887159533,0.9914396887159533
LOCATION,2108,2023,64,85,152706,0.9693339722089123,0.9596774193548387,0.964481525625745
ID,489,484,8,5,154381,0.983739837398374,0.9897750511247444,0.9867482161060143
PERSON,2348,2329,29,19,152501,0.9877014418999152,0.99190800681431,0.989800254993625
