Trained Records Size,O,PERSON,LOCATION,DATE,ID,macro avg,weighted avg,confidence,eval_size
20,0.9790910823724772,0.0089766606822262,0.0183423913043478,0.0,0.0,0.2012820268718103,0.9386879179156842,0.9560517801073184,0
40,0.9948147636026036,0.9521422060164084,0.7487280485803381,0.8883620689655172,0.0,0.7168094174329734,0.9878351323677268,0.962477796575597,0
100,0.9966345526959064,0.9597256030095156,0.8259139988634211,0.8977565281353439,0.6549707602339181,0.867000288587621,0.992139344137408,0.9815450699628396,0
120,0.9971222570222378,0.9744170251301788,0.8527081649151171,0.9376751376944632,0.7938820101966496,0.9111609189917294,0.994032645491164,0.9833538198066653,0
140,0.9980045379871044,0.9789687924016284,0.8697268165768445,0.9689969604863224,0.7837465564738291,0.9198887327851456,0.9955727506768094,0.9860235924415826,0
200,0.9968028653720774,0.9730760601301324,0.8614110871130309,0.9166106899529796,0.7163289630512516,0.8928459331238944,0.993264108935888,0.9855196319572954,0
220,0.9981342853093096,0.977918695504473,0.9006713720089516,0.9734405210135342,0.7153404429860541,0.9131010633644646,0.9958720340703188,0.987899873588327,0
240,0.99827459363876,0.9697645877496374,0.8868972934217602,0.9777200519532422,0.7870652837095791,0.9239443620945956,0.9960079194017216,0.9891327553058312,0
280,0.9985156842695518,0.9719188767550702,0.9016189290161892,0.9806178073894608,0.8389134554643083,0.9383169505789162,0.9965770727155344,0.9896401994057016,0
320,0.9964057871293104,0.8653921955065038,0.8879654255319149,0.9741922773837668,0.8367213114754098,0.9121353994053812,0.9928300253603146,0.9895843752244632,0
340,0.9984110920280992,0.9773351648351648,0.9071983062808748,0.9811586901763224,0.8077753779697623,0.9343757262580448,0.9965369740225614,0.9901906167252366,0
380,0.9984081135072808,0.9709886186119172,0.9165535956580732,0.9828227021597188,0.8144475920679886,0.9366441244009958,0.9965742202972464,0.9909770442554292,0
420,0.9985648727025592,0.979444318951886,0.9182643794147326,0.9830815709969788,0.8279132791327913,0.9414536842397896,0.9968954826657244,0.9914454437042144,0
440,0.9984935191656008,0.9793779195624928,0.9229418992452167,0.9789345756532306,0.8416422287390029,0.9442780284731088,0.9968366670013988,0.9916940223813502,0
480,0.9981246760278788,0.9727538842603018,0.914351851851852,0.9651567944250872,0.8557142857142856,0.9412202984558812,0.9961261585273218,0.991857097448968,0
520,0.998238154603172,0.9621430152756254,0.904418985270049,0.9825466084886948,0.8741302972802023,0.9442954121835488,0.9963163725256904,0.9923694749039051,0
540,0.9984858381331276,0.9691502394476,0.9164720675408656,0.9823867009697208,0.8609625668449198,0.9454914825872468,0.9967284058104412,0.992747417949918,0
580,0.997874974653014,0.9796057104010876,0.9313131313131312,0.9314546032418688,0.8583638583638584,0.9397224555945922,0.9956091416551592,0.9929914333431412,0
600,0.9979474731462448,0.9652552787398055,0.8896353166986565,0.9747121912821018,0.8940533151059468,0.9443207149945512,0.9958688168592056,0.9929064442914314,0
620,0.9984095879596744,0.9795498686164744,0.9261581330546848,0.9691899612324016,0.8506588579795022,0.9447932817685472,0.9966551078600782,0.9932427456641052,0
640,0.9985499380548054,0.9756487938721848,0.9082912526470108,0.9834154186350388,0.8778409090909091,0.9487492624599898,0.9968628271520782,0.9933317255011016,0
680,0.9984304729211192,0.9761986106366016,0.9165281010974392,0.9718131278650152,0.8733744010951402,0.9472689427230632,0.9966364262527412,0.9936031859716052,0
720,0.9988634620364978,0.9784749255782,0.92154210348326,0.9853044086773968,0.9379042690815006,0.9644178337713708,0.9975011729835132,0.9938588559885696,0
740,0.998891337917563,0.9802594472645236,0.9325174230834608,0.987359550561798,0.924936386768448,0.9647928291191586,0.997655223586489,0.9940163275355178,0
780,0.9988814170037814,0.9814395654142146,0.9391036606226478,0.9837430610626486,0.9281045751633986,0.9662544558533384,0.9976730948222544,0.9941128389810888,0
840,0.9988718939976184,0.97931502204137,0.9324025200068108,0.982643794147326,0.8978201634877384,0.9582106787361728,0.9974813038092571,0.9944292304578898,0
860,0.9988916195220108,0.9787426503844412,0.9291204099060631,0.9885702827351112,0.9021218343600276,0.9594893593815308,0.9975667304752937,0.9944622698171964,0
920,0.998783406856442,0.980817538250742,0.9049497847919656,0.9906037584966012,0.9023066485753052,0.9554922273942112,0.9973020629923616,0.9947320104928684,0
940,0.9987850013701752,0.9785592739648328,0.9136760426770126,0.98987090367428,0.9214330609679448,0.9604648565308492,0.9973872675533472,0.9946986254694328,0
960,0.9990219411746272,0.9819428571428572,0.9370534195304524,0.9907963185274108,0.9298597194388778,0.9677348511628452,0.997912455598812,0.9948487588654455,0
980,0.999034954444901,0.9819379756901055,0.9396759738021372,0.9903760293679928,0.93745970341715,0.9696969273444572,0.99796082856899,0.9949059473477808,0
1020,0.999010465971574,0.9834795488207816,0.9415819403756678,0.9874510591306094,0.9329863370201692,0.9689018702637604,0.9979190761061266,0.994885916168867,0
1059,0.9990695863618517,0.9827920227920228,0.937394247038917,0.9907398187792491,0.9339498018494056,0.9687890953642893,0.9979821980825222,0.9948671425151472,0
