Trained Records Size,O,PHYS,PHEN,DISO,PROC,OBJC,GEOG,CHEM,LIVB,ANAT,micro avg,macro avg,weighted avg,confidence,eval_size
20,0.8042116929897479,0.0,0.0,0.0632911392405063,0.0,0.0,0.0,0.0,0.0,0.0,0.6741510741510741,0.0867502832230254,0.5474141238986328,0.7399802562866435,0
40,0.8553575847562486,0.0,0.0,0.0131255127153404,0.0,0.0,0.0,0.37243947858473,0.0,0.3710368466152528,0.6887502887502888,0.1611959422671571,0.6086825935257236,0.7972350394763393,0
60,0.8725540025412959,0.0,0.0,0.4899546338302008,0.1678463094034378,0.0,0.0,0.3872180451127819,0.0,0.1219903691813804,0.7250635250635252,0.2039563360069097,0.6727465238328569,0.7582726028414903,0
80,0.8327055687547082,0.0,0.0,0.3373101952277658,0.0165061898211829,0.0,0.0,0.305498981670061,0.0,0.2089093701996928,0.7063987063987064,0.170093030567341,0.6201813191798253,0.7849294238097183,0
100,0.8660582141095214,0.0,0.0,0.4794664794664794,0.0,0.0,0.0,0.4839255499153976,0.0508474576271186,0.1022146507666098,0.7287595287595288,0.1982512351885127,0.6603132100996031,0.734991500611178,0
120,0.8704637410519763,0.0,0.0,0.4555016181229774,0.1204516938519447,0.0,0.0,0.5100401606425703,0.0230547550432276,0.1823899371069182,0.7317163317163317,0.2161901905819614,0.672692718075685,0.6699387845113524,0
140,0.8236435214240885,0.0,0.0,0.0944649446494464,0.0,0.0,0.0,0.0,0.0,0.4917355371900826,0.6948486948486949,0.1409844003263617,0.5886321034411782,0.761030362986252,0
160,0.883910923705363,0.0,0.0,0.4681227863046044,0.2615859938208033,0.0,0.0,0.4855842185128983,0.1256830601092896,0.3621837549933421,0.7343035343035345,0.2587070737446301,0.7038637899866726,0.7343427426159459,0
180,0.8860986547085201,0.0,0.0,0.4818035426731079,0.0247592847317744,0.0,0.0,0.0752941176470588,0.3317307692307693,0.537864077669903,0.7424347424347425,0.2337550446661133,0.6912150521240442,0.7395892749810004,0
200,0.8731166728925414,0.0,0.0,0.5238450074515648,0.0110957004160887,0.0,0.0,0.1275626423690205,0.3973214285714285,0.5067778936392076,0.7465003465003465,0.2439719345339851,0.6887621145178916,0.7463456685376532,0
220,0.8636004617534481,0.0,0.0,0.4822866344605475,0.1937799043062201,0.0,0.0,0.3233532934131736,0.4186046511627907,0.0428571428571428,0.7372603372603372,0.2324482087953322,0.6745318545393284,0.7343757174129757,0
240,0.8836022705529689,0.0,0.0,0.5315546434068754,0.2328288707799767,0.0,0.0,0.6044444444444445,0.2786069651741293,0.5026246719160106,0.7628551628551627,0.3033661866274405,0.7251829488437348,0.7064115780002592,0
260,0.8623097846063369,0.0,0.0,0.4492811501597443,0.2582159624413145,0.0,0.0,0.6193390452876377,0.2512562814070352,0.1102362204724409,0.6872718872718873,0.2550638444374509,0.6833551464363238,0.7573775607331671,0
280,0.8915568315281223,0.0,0.0,0.595711500974659,0.5040387722132471,0.0,0.0,0.6565272496831434,0.2663316582914572,0.5315947843530592,0.784014784014784,0.3445760797043687,0.7586886208700391,0.7503251699556966,0
300,0.8968824940047961,0.0,0.0,0.5515297906602253,0.5554789800137837,0.0,0.0,0.5043859649122807,0.5219047619047619,0.4957789716039908,0.7623931623931625,0.3525960963099838,0.7613776757339665,0.7565676084763151,0
320,0.8939174033513657,0.0,0.0,0.5458871515975526,0.47451343836886,0.0,0.0,0.6165644171779141,0.5475285171102662,0.5271966527196653,0.779025179025179,0.3605607580325624,0.7599629871667797,0.7409423597569145,0
340,0.901898101898102,0.0,0.0,0.632198402690206,0.4262948207171314,0.0,0.0,0.5769569041336852,0.5764705882352942,0.5755919854280509,0.7925155925155924,0.3689410803102469,0.7736516237191321,0.749493844334698,0
