Label ID,Support,True Positives,False Positives,False Negatives,True Negatives,Precision,Recall,F1 Score
O,15995,15806,338,189,1735,0.9790634291377601,0.9881838074398249,0.9836024767416534
PER,695,650,47,45,17326,0.9325681492109039,0.935251798561151,0.9339080459770115
LOC,811,640,196,171,17061,0.7655502392344498,0.7891491985203453,0.7771706132361871
ORG,185,76,47,109,17836,0.6178861788617886,0.41081081081081083,0.4935064935064935
MISC,382,172,96,210,17590,0.6417910447761194,0.450261780104712,0.5292307692307692
