Label ID,Support,True Positives,False Positives,False Negatives,True Negatives,Precision,Recall,F1 Score
I-LOCATION,890,847,15,43,153973,0.9825986078886311,0.9516853932584269,0.9668949771689498
I-ID,62,58,4,4,154812,0.9354838709677419,0.9354838709677419,0.9354838709677419
I-PERSON,814,800,22,14,154042,0.9732360097323601,0.9828009828009828,0.9779951100244499
B-LOCATION,1218,1158,45,60,153615,0.9625935162094763,0.9507389162561576,0.956629491945477
B-DATE,2163,2137,38,26,152677,0.9825287356321839,0.9879796578825705,0.9852466574458276
I-DATE,407,390,7,17,154464,0.982367758186398,0.9582309582309583,0.9701492537313433
B-PERSON,1534,1513,37,21,153307,0.9761290322580645,0.9863102998696219,0.9811932555123216
B-ID,427,419,12,8,154439,0.9721577726218097,0.9812646370023419,0.9766899766899766
O,147363,147278,98,85,7417,0.9993350341982412,0.9994231930674593,0.9993791116886466
