Trained Records Size,O,PERSON,LOCATION,DATE,ID,macro avg,weighted avg
10,0.9972057098419644,0.9704784526637258,0.842662899523221,0.9171661589859488,0.04551201011378,0.7546050462257281,0.9918184842649576
20,0.9971915074884878,0.9682575416479065,0.8934115212142117,0.9214620431115276,0.8388928317955998,0.9238430890515468,0.9942394139481324
30,0.9984148479755084,0.9697173620457604,0.9184519695922598,0.9802145880500048,0.7877862595419848,0.9309170054411038,0.996474027091391
40,0.998103587023918,0.9541456549783044,0.8814778486186039,0.9715931664680176,0.7929447852760737,0.9196530084729836,0.9954921748769424
50,0.9979322647559232,0.9752367910532924,0.8919275123558483,0.963578398222394,0.7616785431512273,0.9180707019077368,0.9955159780953758
60,0.997243114389292,0.9669440071958624,0.8997912317327765,0.934456745370824,0.7674546454095657,0.9131779488196642,0.994362396663828
70,0.998281047852134,0.9632534169840914,0.893315956060324,0.9837153196622436,0.8698727015558699,0.9416876884229326,0.9962789230348992
80,0.996999557203376,0.9615688042375746,0.913320696191625,0.9238306526160104,0.8232502965599051,0.923794001361698,0.994144990958414
90,0.9982423568905876,0.9755765080086334,0.8985036956913647,0.9784371909000988,0.8843537414965987,0.9470226985974566,0.9964133951305526
100,0.9978559176672384,0.9737142857142856,0.9117005813953488,0.952799541372062,0.8554913294797688,0.9383123311257406,0.995660349756792
110,0.9980296509478798,0.9678761266466376,0.9081302198738708,0.9572371567970916,0.8935879945429741,0.9449722297616908,0.9958754925019682
120,0.9981592306739856,0.95633580913797,0.8905925570995049,0.9774586076201874,0.91218872870249,0.9469469866468276,0.996043540274964
130,0.9984013884329151,0.9657633545221368,0.9284736481861738,0.9702770780856422,0.9173715029277814,0.95605739443093,0.9966551246134728
140,0.9972631158195868,0.9694410490054448,0.9222978872009778,0.9176123258603192,0.8751753155680224,0.9363579386908704,0.9946178655587876
150,0.9981496856446308,0.976759927797834,0.9163025210084034,0.9605581936234132,0.8867403314917127,0.9477021319131989,0.9962264546616548
160,0.9982983550765742,0.9773920986526604,0.9184890656063618,0.9705796109862184,0.883916083916084,0.9497350428475798,0.9965505893955642
170,0.9986574524583134,0.9741697416974168,0.9286474973375932,0.9876641464385196,0.874074074074074,0.9526425824011836,0.9971912840589786
180,0.9984339041615288,0.977616179979548,0.9182169182169182,0.9808213676071896,0.8487518355359766,0.9447680411002322,0.9967586293894352
190,0.998503166758433,0.9737206085753805,0.926999650716032,0.9841746794871796,0.8651685393258427,0.9497133289725734,0.99694473526541
200,0.9985061682390922,0.969472710453284,0.9145046143130768,0.980908101691562,0.8755244755244757,0.947783214044298,0.996746147626518
210,0.998305003622704,0.9754879709487062,0.902056014246398,0.978370729735193,0.8865853658536587,0.948161016881332,0.996509314624184
220,0.9985004924125576,0.9670749522418248,0.9112341489551704,0.9882890035728464,0.8988491823137493,0.95278955589923,0.9968511921383416
230,0.9986508062175072,0.965766185374942,0.926492851135408,0.9898527656187824,0.9219858156028368,0.9605496847898952,0.997198753254146
240,0.9983275304957924,0.956094134176326,0.9304146645310556,0.985286758082274,0.8600288600288601,0.9460303894628616,0.9965663097485098
250,0.9981656465724338,0.9315068493150684,0.9370917841182536,0.9910394265232976,0.9170418006430868,0.954969101434428,0.9963586964644704
260,0.9989181273047516,0.9744748136435508,0.943429374560787,0.988826815642458,0.918558077436582,0.964841441717626,0.9977083480624342
270,0.9983597034924784,0.9557463672391016,0.916135881104034,0.9883814102564104,0.8403263403263403,0.939789940483673,0.9964619890224774
280,0.998828800295604,0.9770767135724012,0.9340905179831356,0.9894695012914764,0.9058591178406846,0.9610649301966604,0.9975524173039402
290,0.9987231473263628,0.976538592315539,0.9413388543823326,0.9855769230769232,0.8825319537431527,0.956941894168862,0.9973917550532116
300,0.9985575510716044,0.9761153672825598,0.9272482317278544,0.9835477116362548,0.8602279544091181,0.9491393632254784,0.9970106831626296
310,0.9986007616608694,0.9748470428280084,0.925535532131928,0.9821481998603768,0.8741641337386019,0.9510591340439568,0.9970301686164436
320,0.9987297167103292,0.9764015195119142,0.9202838752269352,0.9891617778661628,0.911461908030199,0.959207759469108,0.9973294506293484
330,0.9988079437441778,0.9756940444649236,0.9281709880868956,0.9888535031847132,0.9279891304347826,0.9639031219830984,0.9975025147135876
340,0.9985795243633844,0.9498178399341872,0.8698320413436693,0.990242931103146,0.9339378238341968,0.9484820321157168,0.9964201046337212
350,0.998157680755928,0.9641129485881426,0.878697117184575,0.9684680314349472,0.9287066246056782,0.9476284805138542,0.9959383486643906
360,0.998417765898648,0.976185024043966,0.8973258501155497,0.9849578820697954,0.9427652733118972,0.9599303590879712,0.9968250127937428
370,0.998217351115806,0.9774418870949272,0.9288558075125498,0.9920445505171042,0.7393458870168484,0.9271810966514472,0.9965592807701856
380,0.9982941550452884,0.9668235821564672,0.8935832274459975,0.9905274703360256,0.901985111662531,0.950242709329262,0.9965304523438292
390,0.9986532475548852,0.972291619350443,0.9049788480312398,0.99072319201995,0.9229773462783172,0.9579248506469672,0.9971103885227752
400,0.9986073618417144,0.9759512250197584,0.9310344827586208,0.972500242930716,0.9005167958656332,0.9557220216832883,0.9970131704923896
410,0.9988144176053216,0.9779194172547234,0.9359202563189748,0.982810313811713,0.9212043561819346,0.9633337522345335,0.9974986249145646
420,0.9988897778730916,0.9789343246592318,0.9397672826830936,0.989010989010989,0.9244031830238728,0.9662011114500558,0.9977269978374236
430,0.998460204360886,0.974052812858783,0.9247542448614836,0.984375,0.8862526168876482,0.9535789757937602,0.9969419733562568
440,0.9985264488407128,0.9698951403765926,0.909215250470166,0.985201262825572,0.8820116054158607,0.9489699415857809,0.9968068476819056
450,0.9982266783458454,0.968313760248172,0.9096796182685754,0.9772773382024752,0.8914675767918089,0.9489929943713752,0.9963985537124342
460,0.9988373147743485,0.977863112717416,0.9261014569071442,0.9912158115392292,0.9306666666666664,0.9649368725209608,0.9975860653835408
470,0.9986310226755424,0.9804234008650126,0.9392440833627694,0.9797969645190472,0.8472622478386167,0.9490715438521976,0.997160767048295
480,0.9986638998947616,0.9736489504242968,0.93906555338426,0.9800909550277918,0.8683901292596945,0.9519718975981608,0.9971518493637326
490,0.9986829286786922,0.977301243298734,0.92660387417807,0.9845967985502868,0.8729281767955801,0.9520226043002726,0.9971890952309396
500,0.9985578747628084,0.9687604224569204,0.9321464561639232,0.991157476403378,0.8308823529411764,0.9443009165456412,0.9970029328637098
510,0.9984948458372254,0.9787576070731429,0.9206625980819528,0.9893985930843158,0.7567293042153378,0.9288085896583947,0.9967682924495364
520,0.9985095492830816,0.978427120191759,0.8791484032561053,0.9847051720668144,0.9229729729729728,0.9527526435541466,0.9967246463952472
530,0.9987280313191356,0.9730666974916194,0.928511354079058,0.9876494023904384,0.8982327848872639,0.957237654033503,0.997300748600853
540,0.9988530615006576,0.9732163472639112,0.8962219033955044,0.9902293120638086,0.903871829105474,0.9524784906658712,0.9971797933817056
550,0.9987024271372444,0.977630677927414,0.9227467811158796,0.9841395717684376,0.875085324232082,0.9516609564362116,0.9971748072331628
560,0.9979557261135348,0.9194282689253572,0.9359861591695502,0.9879783610498896,0.9106592729513246,0.9504015576419312,0.9959139649170564
570,0.999061215667964,0.9764241398759166,0.9347303332188251,0.9930306650736758,0.9421383647798742,0.9690769437232511,0.997916843252165
580,0.9988000547980478,0.9784560143626572,0.9252633338906538,0.9854072175113392,0.93717277486911,0.9650198790863616,0.997474298227197
590,0.998416553700955,0.9779626714639084,0.890234188306516,0.9809691975671964,0.8758815232722145,0.944692826862158,0.9965572222599942
600,0.9984651388471708,0.9778695103772505,0.902964522922404,0.986235305937908,0.8993369499698614,0.9529742856109188,0.9968606979374772
610,0.9988242879356772,0.9765161878704972,0.9358752166377816,0.9894842263395092,0.8983516483516484,0.9598103134270228,0.9975386741965544
